iteration,coverage,num_mutants,cns_ref_diff,cns_sabin_diff,num_medaka_variants
polio_testing_7,900,110,108,2,191
polio_testing_7,1000,110,109,2,205
polio_testing_7,1100,110,108,2,155
polio_testing_7,1200,110,108,2,186
polio_testing_7,1300,110,182,85,105
polio_testing_7,1400,110,111,4,104
polio_testing_7,1500,110,109,3,171
polio_testing_7,2000,110,109,3,140
polio_testing_8,100,110,113,9,103
polio_testing_8,150,110,108,2,103
polio_testing_8,200,110,109,4,173
polio_testing_8,250,110,109,4,106
polio_testing_8,300,110,111,5,106
polio_testing_8,350,110,109,4,159
polio_testing_8,400,110,108,3,176
polio_testing_8,500,110,108,3,157
polio_testing_8,600,110,107,3,170
polio_testing_8,700,110,110,6,192
polio_testing_8,800,110,109,4,106
polio_testing_8,900,110,109,3,183
polio_testing_8,1000,110,108,2,106
polio_testing_8,1100,110,108,3,168
polio_testing_8,1200,110,110,3,111
polio_testing_8,1300,110,108,3,168
polio_testing_8,1400,110,108,3,175
polio_testing_8,1500,110,110,4,168
polio_testing_8,2000,110,108,2,166
polio_testing_9,100,110,111,4,104
polio_testing_9,150,110,111,1,106
polio_testing_9,200,110,109,1,149
polio_testing_9,250,110,110,0,154
polio_testing_9,300,110,110,0,106
polio_testing_9,350,110,111,3,110
polio_testing_9,400,110,110,0,104
polio_testing_9,500,110,111,1,175
polio_testing_9,600,110,110,0,135
polio_testing_9,700,110,110,0,162
polio_testing_9,800,110,110,0,121
polio_testing_9,900,110,110,0,176
polio_testing_9,1000,110,111,1,188
polio_testing_9,1100,110,194,99,185
polio_testing_9,1200,110,113,3,143
polio_testing_9,1300,110,113,3,141
polio_testing_9,1400,110,110,0,117
polio_testing_9,1500,110,111,1,170
polio_testing_9,2000,110,110,0,116
polio_testing_10,100,110,113,3,190
polio_testing_10,150,110,114,4,100
polio_testing_10,200,110,111,2,104
polio_testing_10,250,110,112,2,165
polio_testing_10,300,110,112,1,106
polio_testing_10,350,110,110,0,107
polio_testing_10,400,110,110,0,176
polio_testing_10,500,110,112,1,194
polio_testing_10,600,110,110,0,109
polio_testing_10,700,110,110,0,118
polio_testing_10,800,110,110,0,185
polio_testing_10,900,110,112,2,160
polio_testing_10,1000,110,111,1,166
polio_testing_10,1100,110,111,1,203
polio_testing_10,1200,110,111,1,137
polio_testing_10,1300,110,110,0,108
polio_testing_10,1400,110,114,4,108
polio_testing_10,1500,110,110,0,165
polio_testing_10,2000,110,111,1,109
